channel_id,channel,video_id,url,title,duration_s,views_at_retrieval
UCadxaC9Fs6iCt-oEPkpVZ9A,Apna 465 Rd,9OJT0TBKnME,https://www.youtube.com/watch?v=9OJT0TBKnME,"क्रिकेट प्रतियोगिता का आज फाइनल  महा मुकाबला, RD465 दामोलाई ,….. ",477,83
UCadxaC9Fs6iCt-oEPkpVZ9A,Apna 465 Rd,ZCXrVBw3Auk,https://www.youtube.com/watch?v=ZCXrVBw3Auk,बरजू मेला 2025 | पीर मशकिन शाह बीकानेरी // Barju gaav mela  #barju #rajasthan #mela @ShubhJourney ,454,223
UCadxaC9Fs6iCt-oEPkpVZ9A,Apna 465 Rd,XVAN07aRHhY,https://www.youtube.com/watch?v=XVAN07aRHhY,पुराणा 34 गाँव का 40 साल बाद का नज़ारा आज भी यहाँ सुकून मिलता हैं (कानोलाई गाँव) @ShubhJourney ,334,484
UCadxaC9Fs6iCt-oEPkpVZ9A,Apna 465 Rd,dI4BqyBBJ40,https://www.youtube.com/watch?v=dI4BqyBBJ40,"छतरगढ़ का किला देखिए 2025 🙏🙏 chhatargarh,rajasthani #vlog  #bikanervlog #chhatargarh  @ShubhJourney ",31,1200
UCadxaC9Fs6iCt-oEPkpVZ9A,Apna 465 Rd,3I05fAj3TC4,https://www.youtube.com/watch?v=3I05fAj3TC4,पंजाब की मदद के लिये पहुँचे पीर नासिर साहा ❤️❤️ #465rd #chhatargarh #bikaner #rajasthan ,33,53
UCadxaC9Fs6iCt-oEPkpVZ9A,Apna 465 Rd,nE0FPXoPozU,https://www.youtube.com/watch?v=nE0FPXoPozU,”सूरतगढ़ मेला 2025 || बाबा रामदेव जी का विशाल मेला #mela #rajasthan #surtgarh @ShubhJourney ,460,1300
UCadxaC9Fs6iCt-oEPkpVZ9A,Apna 465 Rd,HstjeIoi1jQ,https://www.youtube.com/watch?v=HstjeIoi1jQ,{ RD 507 } हेड छतरगढ़ मेला 2025 || इतना सुंदर मेला || #rajasthan #vlog  #mela @ShubhJourney,379,364
UCadxaC9Fs6iCt-oEPkpVZ9A,Apna 465 Rd,BJLztYjRa30,https://www.youtube.com/watch?v=BJLztYjRa30,अनूपगढ़ का लैला मजनू मेला”laila majnu mela anupgarh #rajasthan #anupghar #lelamajnu @ShubhJourney,319,1700
UCadxaC9Fs6iCt-oEPkpVZ9A,Apna 465 Rd,wcmOhXVJijU,https://www.youtube.com/watch?v=wcmOhXVJijU,"मण्डी 465 RD Damolai , 465आरडी #465rd ​⁠ ​⁠#chhatargarh #village #vlog #rajasthan @ShubhJourney",91,397
UCadxaC9Fs6iCt-oEPkpVZ9A,Apna 465 Rd,WH8pepFHVAY,https://www.youtube.com/watch?v=WH8pepFHVAY,अनोखा मेला अनूपगढ़ 2025 #anoopgarh #mela #2025 #अनूपगढ़ // #vlog #rajasthan @ShubhJourney,176,1700
